Processing archive: SECDR-Scheme1.0.tar

   Date      Time    Attr         Size   Compressed  Name
1993-04-05 14:11:59  ----        5015         5120  Scheme\secdrlib\pcall\README
1993-04-05 14:11:59  ----        7859         8192  Scheme\secdrlib\pcall\cont-bm.scm
1993-04-05 14:11:59  ----        3878         4096  Scheme\secdrlib\pcall\splitter.scm
1993-04-05 14:12:01  ----        9095         9216  Scheme\secdrlib\pcall\susp.scm
1993-04-05 14:12:01  ----        9654         9728  Scheme\secdrlib\pcall\threads.scm
1993-06-21 14:20:20  ----           0            0  Scheme\secdrlib\schelog
1992-05-29 18:11:03  ----        3026         3072  Scheme\secdrlib\schelog\bagof.ss
1992-05-29 18:11:03  ----        1272         1536  Scheme\secdrlib\schelog\bible.ss
1992-05-29 18:11:03  ----        1395         1536  Scheme\secdrlib\schelog\england.ss
1992-05-29 18:11:03  ----        2497         2560  Scheme\secdrlib\schelog\games.ss
1992-05-29 18:11:03  ----         219          512  Scheme\secdrlib\schelog\header
1992-05-29 18:11:04  ----        3275         3584  Scheme\secdrlib\schelog\houses.ss
1992-05-29 18:11:04  ----         178          512  Scheme\secdrlib\schelog\makefile
1992-05-29 18:11:04  ----        2041         2048  Scheme\secdrlib\schelog\mapcol.ss
1992-05-29 18:11:05  ----        3436         3584  Scheme\secdrlib\schelog\Usage
1992-05-29 18:11:04  ----        1174         1536  Scheme\secdrlib\schelog\puzzle.ss
1992-05-29 18:11:04  ----         270          512  Scheme\secdrlib\schelog\schelog
1992-05-29 18:11:05  ----        8743         9216  Scheme\secdrlib\schelog\schelog.ss
1992-05-29 18:11:05  ----        1683         2048  Scheme\secdrlib\schelog\toys.ss
1992-05-29 18:11:04  ----        2784         3072  Scheme\secdrlib\schelog\Readme
1992-05-29 18:42:45  ----        8970         9216  Scheme\secdrlib\schelog\schelog.scm
1992-05-29 18:42:40  ----        3105         3584  Scheme\secdrlib\schelog\bagof.scm
1993-03-16 14:31:40  ----         316          512  Scheme\secdrlib\schelog\mkschelg.scm
1992-05-29 18:11:03  ----         699         1024  Scheme\secdrlib\schelog\amsterdam.ss
1993-04-12 15:13:43  ----           0            0  Scheme\secdrlib\tiny-clos
1993-04-12 14:53:38  ----        7889         8192  Scheme\secdrlib\tiny-clos\support.scm
1993-04-09 11:53:22  ----       27006        27136  Scheme\secdrlib\tiny-clos\tiny-clos.scm
1993-04-06 11:00:28  ----        9614         9728  Scheme\secdrlib\tiny-clos\tiny-examples.scm
1993-04-03 19:30:12  ----        5772         6144  Scheme\secdrlib\tiny-clos\tiny-announce.text
1993-04-06 11:03:30  ----       15474        15872  Scheme\secdrlib\tiny-clos\tiny-rpp.text
1993-04-03 19:30:08  ----        7673         7680  Scheme\secdrlib\tiny-clos\support.scm.orig
1993-04-03 19:30:19  ----       26947        27136  Scheme\secdrlib\tiny-clos\tiny-clos.scm.orig
1993-04-03 19:30:25  ----        9618         9728  Scheme\secdrlib\tiny-clos\tiny-examples.scm.orig
1993-04-03 19:30:31  ----       15476        15872  Scheme\secdrlib\tiny-clos\tiny-rpp.text.orig
1993-04-12 15:13:24  ----         322          512  Scheme\secdrlib\tiny-clos\mkclos.scm
1993-08-05 16:34:57  ----           0            0  Scheme\secdrlib\bin
1993-04-26 14:58:01  ----       19504        19968  Scheme\doc\COPYING
1993-08-02 10:51:34  ----        9084         9216  Scheme\doc\README
1993-07-06 15:27:44  ----       22933        23040  Scheme\doc\MANUAL
1993-08-02 10:49:53  ----       11330        11776  Scheme\doc\MACHINE
1993-06-21 01:08:26  ----        4864         5120  Scheme\doc\INSTALL
1992-10-07 10:45:58  ----        1839         2048  Scheme\doc\extendsyntax.examples
1993-07-06 13:08:58  ----        8732         9216  Scheme\doc\tex\idea-scm.tex
1993-07-06 14:49:45  ----       14116        14336  Scheme\doc\tex\machine.tex
1993-07-07 10:27:16  ----       25914        26112  Scheme\doc\tex\manual.tex
1993-06-29 01:43:12  ----        1316         1536  Scheme\doc\tex\no-macro.tex
1993-07-06 13:50:31  ----        1357         1536  Scheme\doc\tex\referenc.tex
1993-07-06 11:36:21  ----       20534        20992  Scheme\doc\tex\scm-cont.tex
1993-08-05 16:32:16  ----        3654         4096  Scheme\doc\tex\secdrscm.tex
------------------- ----- ------------ ------------  ------------------------
                               1240580      1269760  34359738489 files, 3604296510 folders
